"SSN","Soil_Organic_Carbon_kg_m2","Type"
"icr005934",8.98048201315033,"MIMICS"
"icr005940",8.25191496250591,"MIMICS"
"icr005950",6.88042064406852,"MIMICS"
"icr005952",7.2392938159724,"MIMICS"
"icr005958",8.26448472548208,"MIMICS"
"icr005971",6.73690681346675,"MIMICS"
"icr005973",8.13895672734091,"MIMICS"
"icr005975",7.30355942051786,"MIMICS"
"icr005977",10.6255714424409,"MIMICS"
"icr005981",9.12662880991768,"MIMICS"
"icr005987",8.12013336512794,"MIMICS"
"icr005988",7.59681465147012,"MIMICS"
"icr005989",8.17415251135246,"MIMICS"
"icr005990",7.81165823202983,"MIMICS"
"icr005995",9.31403693138465,"MIMICS"
"icr005997",8.42300962683384,"MIMICS"
"icr006000",8.74477548076438,"MIMICS"
"icr006010",9.12308702886713,"MIMICS"
"icr006021",8.35155354889418,"MIMICS"
"icr006027",9.43485655340681,"MIMICS"
"icr006041",5.9823787994479,"MIMICS"
"icr006058",6.61101073135414,"MIMICS"
"icr006084",8.54569702183772,"MIMICS"
"icr006099",11.815870243672,"MIMICS"
"icr006115",8.30274435415413,"MIMICS"
"icr006130",9.28577937004142,"MIMICS"
"icr006139",9.3779492480807,"MIMICS"
"icr006145",11.1436104913642,"MIMICS"
"icr006162",7.39261480907566,"MIMICS"
"icr006166",10.0757800356283,"MIMICS"
"icr006175",7.58989727433984,"MIMICS"
"icr006176",7.52044912022164,"MIMICS"
"icr006185",8.98089834021474,"MIMICS"
"icr006192",10.7880733943615,"MIMICS"
"icr006454",8.50645629772899,"MIMICS"
"icr006474",6.84027312945516,"MIMICS"
"icr006492",10.1839245160072,"MIMICS"
"icr006510",7.38068653187576,"MIMICS"
"icr006530",9.61229327209937,"MIMICS"
"icr006570",9.57682193878085,"MIMICS"
"icr006586",8.30452360285945,"MIMICS"
"icr006626",6.64269738426727,"MIMICS"
"icr006684",6.27377883056953,"MIMICS"
"icr006704",14.5071234068472,"MIMICS"
"icr006744",7.21240518564726,"MIMICS"
"icr007987",9.68420962300837,"MIMICS"
"icr010535",1.21097312531641,"MIMICS"
"icr015592",10.4630571056336,"MIMICS"
"icr020848",5.9565328565589,"MIMICS"
"icr020868",6.60635507083091,"MIMICS"
"icr020888",6.46259622976898,"MIMICS"
"icr020908",8.16836920650697,"MIMICS"
"icr020947",6.61282676830034,"MIMICS"
"icr020970",7.15304700036669,"MIMICS"
"icr020986",6.88273093968685,"MIMICS"
"icr021023",9.26556014785372,"MIMICS"
"icr021063",7.3223158014789,"MIMICS"
"icr021103",6.76316848476889,"MIMICS"
"icr021123",6.89018161861548,"MIMICS"
"icr024956",10.1718196865808,"MIMICS"
"icr024976",8.91942049865166,"MIMICS"
"icr024994",9.93495300251016,"MIMICS"
"icr025016",8.4098768483466,"MIMICS"
"icr030033",18.8822098893445,"MIMICS"
"icr030037",14.8306384954075,"MIMICS"
"icr030039",16.2407127532457,"MIMICS"
"icr030043",15.5462552564927,"MIMICS"
"icr030051",16.118817005437,"MIMICS"
"icr030055",16.2716491192367,"MIMICS"
"icr030063",10.7405618196053,"MIMICS"
"icr030083",16.7802348411098,"MIMICS"
"icr030097",20.7266987101551,"MIMICS"
"icr030101",18.2973654970733,"MIMICS"
"icr030113",10.8779776849428,"MIMICS"
"icr030115",9.98492236255372,"MIMICS"
"icr030119",11.1728920797877,"MIMICS"
"icr030123",11.1732132043784,"MIMICS"
"icr030127",18.0489705774562,"MIMICS"
"icr030129",12.8835051568355,"MIMICS"
"icr030131",12.4285425599449,"MIMICS"
"icr030133",13.5038890454931,"MIMICS"
"icr030137",11.680444130363,"MIMICS"
"icr030139",12.512497321533,"MIMICS"
"icr030145",21.69822278975,"MIMICS"
"icr030174",11.3213628675154,"MIMICS"
"icr030176",15.4557496401663,"MIMICS"
"icr030181",8.39275819984911,"MIMICS"
"icr030185",8.93310395692744,"MIMICS"
"icr030190",9.50763366450781,"MIMICS"
"icr030192",8.76144863795504,"MIMICS"
"icr030206",11.7264752850211,"MIMICS"
"icr030214",16.4087998146295,"MIMICS"
"icr030232",15.0893396767791,"MIMICS"
"icr030234",10.7898979831853,"MIMICS"
"icr030244",15.0424441539976,"MIMICS"
"icr030260",8.70922406782949,"MIMICS"
"icr030268",9.24910078755407,"MIMICS"
"icr030270",11.2847901227525,"MIMICS"
"icr030282",9.26915366637218,"MIMICS"
"icr030284",13.1054993572054,"MIMICS"
"icr030288",13.9372575174912,"MIMICS"
"icr030300",9.77039781686002,"MIMICS"
"icr030310",20.1856227428514,"MIMICS"
"icr030323",17.3584981086245,"MIMICS"
"icr030325",17.9973433926688,"MIMICS"
"icr030326",14.0511535919421,"MIMICS"
"icr030328",14.6756176259777,"MIMICS"
"icr030330",16.6131966817099,"MIMICS"
"icr030334",7.02523451920261,"MIMICS"
"icr030335",8.00690662180521,"MIMICS"
"icr030345",6.52323837252285,"MIMICS"
"icr030346",14.440643201051,"MIMICS"
"icr030351",8.39204180103425,"MIMICS"
"icr030369",9.30315816151491,"MIMICS"
"icr030370",6.93592232985754,"MIMICS"
"icr030375",6.94136522592012,"MIMICS"
"icr030379",7.00015260431185,"MIMICS"
"icr030381",6.85987971739388,"MIMICS"
"icr030386",8.80535853318897,"MIMICS"
"icr030393",8.34227542624242,"MIMICS"
"icr030397",7.86908928744701,"MIMICS"
"icr030409",14.6693234268346,"MIMICS"
"icr030411",6.66422540781393,"MIMICS"
"icr030419",7.77075484723027,"MIMICS"
"icr030420",8.61899041848747,"MIMICS"
"icr030422",6.93882614248366,"MIMICS"
"icr030424",9.66816786953327,"MIMICS"
"icr030425",11.2671174305576,"MIMICS"
"icr030426",8.75771024476898,"MIMICS"
"icr030427",7.43092601574833,"MIMICS"
"icr030428",9.79083040861259,"MIMICS"
"icr030432",9.22096898634549,"MIMICS"
"icr030434",7.62908018826735,"MIMICS"
"icr030435",7.84530105291608,"MIMICS"
"icr030480",8.43786429771444,"MIMICS"
"icr030482",8.93105096367603,"MIMICS"
"icr030489",9.00474600210835,"MIMICS"
"icr030493",7.29065554754626,"MIMICS"
"icr030513",11.3010922878064,"MIMICS"
"icr030515",11.5256313699503,"MIMICS"
"icr030547",6.1289168929719,"MIMICS"
"icr033391",2.98628971197065,"MIMICS"
"icr033396",4.26462468039819,"MIMICS"
